Name,State,Category,Policy_Incentive_Type,Created,Last_Updated
Glendale Water and Power - Electric Vehicle Charging Station Rebate Program,CA,Financial Incentive,Rebate Program,7/3/2021,1/28/2025
LADWP - Charge up LA Electric Vehicle Charger Rebate Program,CA,Financial Incentive,Rebate Program,7/3/2021,2/17/2025
LADWP - Charge Up LA Used Electric Vehicle Program,CA,Financial Incentive,Rebate Program,7/3/2021,6/9/2025
PG&E - EV Fleet Program,CA,Financial Incentive,Rebate Program,7/7/2021,6/9/2025
Pasadena Water and Power - Residential Electric Vehicle and Charger Incentive Program,CA,Financial Incentive,Rebate Program,7/8/2021,6/9/2025
Pasadena Water and Power - Commercial Charger Incentive Program,CA,Financial Incentive,Rebate Program,7/8/2021,6/16/2025
SMUD - Commercial Electric Vehicle Incentive Program,CA,Financial Incentive,Rebate Program,7/9/2021,6/16/2025
SDG&E - Power Your Drive Program,CA,Financial Incentive,Rebate Program,7/15/2021,6/10/2025
SCE - Charge Ready Program,CA,Financial Incentive,Rebate Program,7/15/2021,6/9/2025
Technology and Equipment for Clean Heating (TECH) Initiative,CA,Financial Incentive,Rebate Program,2/11/2022,7/7/2023
Modesto Irrigation District - Residential Electric Vehicle Charger Rebate Program,CA,Financial Incentive,Rebate Program,5/25/2022,5/25/2022
Enhanced Community Renewables Program,CA,Regulatory Policy,Community Solar Rules,5/31/2022,5/20/2025
Modesto Irrigation District - Electric Vehicle Charger Rebate Program,CA,Financial Incentive,Rebate Program,6/15/2023,2/17/2025
Redding Electric - Electric Vehicle Rebate Program,CA,Financial Incentive,Rebate Program,6/15/2023,2/17/2025
PG&E GoGreen Business Energy Financing,CA,Financial Incentive,Loan Program,8/2/2023,8/2/2023
Marin Clean Energy - Feed-In Tariff Plus,CA,Financial Incentive,Feed-in Tariff,5/24/2024,3/21/2025
California - National Electric Vehicle Infrastructure (NEVI) Formula Grant Program,CA,Financial Incentive,Grant Program,6/11/2024,6/11/2024
Bay Area Regional Energy Network (BayREN) - Single Family Residential Energy Efficiency Rebate Program,CA,Financial Incentive,Rebate Program,7/29/2024,7/29/2024
Bay Area Regional Energy Network (BayREN) - Multifamily Residential Energy Efficiency Rebate Program,CA,Financial Incentive,Rebate Program,7/29/2024,7/29/2024
Tri-County Regional Energy Network (3C-REN) - Multifamily Residential Energy Efficiency Rebate Program,CA,Financial Incentive,Rebate Program,7/31/2024,7/31/2024
Southern California Regional Energy Network (SoCalREN) - Multifamily Residential Energy Efficiency Rebate Program,CA,Financial Incentive,Rebate Program,7/31/2024,8/1/2024
California - Home Electrification and Appliance Rebate (HEAR) Program,CA,Financial Incentive,Rebate Program,10/9/2024,5/7/2025
Renewable Energy Standard,CO,Regulatory Policy,Renewables Portfolio Standard,11/4/2004,2/13/2025
Colorado Solar/Wind Easements and Rights Law,CO,Regulatory Policy,Solar/Wind Access Policy,1/1/2000,10/30/2023
Mandatory Photovoltaic System Cost Estimate,CO,Regulatory Policy,Line Extension Analysis,1/1/2000,12/19/2020
Net Metering,CO,Regulatory Policy,Net Metering,12/16/2004,2/28/2025
City of Boulder - Green Points Building Program,CO,Regulatory Policy,Building Energy Code,2/2/2001,7/20/2022
Holy Cross Energy - Renewable Energy Rebate Program,CO,Financial Incentive,Rebate Program,5/17/2005,3/17/2025
City of Aspen and Pitkin County - Renewable Energy Mitigation Program,CO,Regulatory Policy,Building Energy Code,1/1/2000,6/11/2020
City of Boulder - Solar Access Ordinance,CO,Regulatory Policy,Solar/Wind Access Policy,2/2/2001,10/20/2023
Fuel Mix Disclosure,CO,Regulatory Policy,Generation Disclosure,11/30/2001,8/9/2023
Roaring Fork Valley - Energy Smart Colorado Renewable Energy Rebate Program,CO,Financial Incentive,Rebate Program,9/25/2002,3/24/2023
Xcel Energy - Solar*Rewards Program,CO,Financial Incentive,Performance-Based Incentive,12/6/2005,3/17/2025
Interconnection Standards,CO,Regulatory Policy,Interconnection,12/20/2005,5/29/2024
Fort Collins Utilities - Residential Energy Efficiency Rebate Program,CO,Financial Incentive,Rebate Program,3/13/2006,6/20/2023
Fort Collins Utilities - Home Efficiency Loan Program,CO,Financial Incentive,Loan Program,3/13/2006,8/6/2024
Xcel Energy - Commercial Energy Efficiency Rebate Programs,CO,Financial Incentive,Rebate Program,6/5/2006,5/30/2024
Xcel Energy - Residential Energy Efficiency Rebate Programs,CO,Financial Incentive,Rebate Program,6/5/2006,8/7/2024
Greening of State Government,CO,Regulatory Policy,Energy Standards for Public Buildings,6/30/2006,6/7/2024
Colorado Springs Utilities - Commercial Energy Efficiency Rebate Program,CO,Financial Incentive,Rebate Program,7/10/2006,8/6/2024
Colorado Springs Utilities - Residential Energy Efficiency Rebate Program,CO,Financial Incentive,Rebate Program,7/10/2006,8/6/2024
Black Hills Energy - Solar Power Program,CO,Financial Incentive,Performance-Based Incentive,7/17/2006,5/22/2021
Building Energy Code,CO,Regulatory Policy,Building Energy Code,7/28/2006,5/23/2023
Holy Cross Energy - Residential Energy Efficiency Rebate Program,CO,Financial Incentive,Rebate Program,8/25/2006,6/12/2025
"Mountain View Electric Association, Inc - Energy Efficiency Rebates Program",CO,Financial Incentive,Rebate Program,8/31/2006,8/8/2024
United Power - Residential Energy Efficient Appliance Rebate Program,CO,Financial Incentive,Rebate Program,8/31/2006,8/5/2024
City of Boulder - Climate Action Plan Fund,CO,Regulatory Policy,Public Benefits Fund,11/15/2006,7/28/2021
Renewable Energy Property Tax Assessment,CO,Financial Incentive,Property Tax Incentive,2/16/2007,12/4/2023
Sangre De Cristo Electric Association - Energy Efficiency Credit Program,CO,Financial Incentive,Rebate Program,3/4/2007,5/20/2024
Mandatory Green Power Option for Large Municipal Utilities,CO,Regulatory Policy,Mandatory Utility Green Power Option,4/10/2007,8/27/2021
Local Option - Property Tax Exemption for Renewable Energy Systems,CO,Financial Incentive,Property Tax Incentive,4/27/2007,12/6/2023
Local Option - Sales and Use Tax Exemption for Renewable Energy Systems,CO,Financial Incentive,Sales Tax Incentive,4/27/2007,12/12/2024
Fort Collins - Green Building Requirement for City-Owned Buildings,CO,Regulatory Policy,Energy Standards for Public Buildings,11/27/2007,6/24/2024
Clean Energy Fund,CO,Regulatory Policy,Public Benefits Fund,2/6/2008,7/26/2021
City and County of Denver - Green Building Requirement for City-Owned Buildings,CO,Regulatory Policy,Energy Standards for Public Buildings,4/11/2008,6/24/2024
City of Boulder - Solar Grant Program,CO,Financial Incentive,Grant Program,5/28/2008,7/20/2022
Solar Construction Permitting Standards,CO,Regulatory Policy,Solar/Wind Permitting Standards,5/29/2008,3/4/2023
Atmos Energy (Gas) - Energy Efficiency Rebate Program,CO,Financial Incentive,Rebate Program,3/23/2009,12/5/2024
Colorado Natural Gas - Energy Efficiency Rebate Program,CO,Financial Incentive,Rebate Program,3/23/2009,8/8/2024
Gunnison County Electric - Residential Energy Efficiency Rebate Program,CO,Financial Incentive,Rebate Program,5/8/2009,6/3/2024
Sales and Use Tax Exemption for Renewable Energy Equipment,CO,Financial Incentive,Sales Tax Incentive,5/27/2009,12/10/2024
La Plata Electric Association - Residential Energy Efficiency Rebate Program,CO,Financial Incentive,Rebate Program,8/5/2009,5/31/2024
Delta-Montrose Electric Association - Residential Weatherization Rebate Program,CO,Financial Incentive,Rebate Program,8/6/2009,8/21/2024
Empire Electric Association - Residential Energy Efficiency Rebate Program,CO,Financial Incentive,Rebate Program,8/7/2009,8/22/2024
Black Hills Energy (Gas) - Residential Energy Efficiency Program,CO,Financial Incentive,Rebate Program,9/16/2009,5/10/2024
Black Hills Energy (Gas) - Commercial Energy Efficiency Program,CO,Financial Incentive,Rebate Program,9/16/2009,5/10/2024
Morgan County REA - Efficiency Credit/Rebate Programs,CO,Financial Incentive,Rebate Program,9/24/2009,8/19/2024
City of Boulder - Solar Sales and Use Tax Rebate,CO,Financial Incentive,Sales Tax Incentive,4/8/2010,3/17/2025
Southeast Colorado Power Association - Energy Efficiency Rebate Program,CO,Financial Incentive,Rebate Program,5/13/2010,5/17/2024
Property Tax Exemption for Residential Renewable Energy Equipment,CO,Financial Incentive,Property Tax Incentive,6/16/2010,3/17/2025
Colorado Springs Utilities - Builder Incentive Program,CO,Financial Incentive,Rebate Program,6/24/2010,7/26/2024
Black Hills Energy (Electric) - Commercial Energy Efficiency Program,CO,Financial Incentive,Rebate Program,8/4/2010,1/17/2025
Black Hills Energy (Electric) - Residential Energy Efficiency Program,CO,Financial Incentive,Rebate Program,8/5/2010,11/26/2024
San Miguel Power Association - Renewable Energy Rebate Program,CO,Financial Incentive,Rebate Program,8/16/2010,12/4/2024
San Miguel Power Association - Energy Efficiency Rebate Program,CO,Financial Incentive,Rebate Program,8/24/2010,5/23/2024
Energy Efficiency Resource Standard,CO,Regulatory Policy,Energy Efficiency Resource Standard,12/10/2010,6/30/2025
Boulder County - EnergySmart Residential Energy Efficiency Rebate Program,CO,Financial Incentive,Rebate Program,2/14/2011,6/23/2023
United Power - Commercial and Industrial Energy Efficiency Rebate Program,CO,Financial Incentive,Rebate Program,8/31/2006,8/5/2024
Poudre Valley REA - Energy Efficiency Rebate Program,CO,Financial Incentive,Rebate Program,8/31/2006,8/14/2024
Roaring Fork Valley - Energy Smart Colorado Energy Efficiency Rebate Program,CO,Financial Incentive,Rebate Program,6/1/2011,7/7/2023
Loveland Water & Power - Residential Energy Efficiency Rebate Program,CO,Financial Incentive,Rebate Program,4/29/2011,8/28/2024
San Isabel Electric Association - Residential Energy Efficiency Rebate Program,CO,Financial Incentive,Rebate Program,3/14/2012,12/2/2024
Empire Electric Association - Commercial Energy Efficiency Rebate Program,CO,Financial Incentive,Rebate Program,8/7/2009,8/28/2024
Holy Cross Energy - Commercial Energy Efficiency Rebate Program,CO,Financial Incentive,Rebate Program,5/9/2012,8/5/2024
Xcel Energy - Solar Rewards Program,CO,Financial Incentive,Performance-Based Incentive,8/15/2012,11/18/2022
Boulder County - Elevations Energy Loans,CO,Financial Incentive,Loan Program,9/26/2012,7/20/2022
City and County of Denver - Elevations Energy Loans,CO,Financial Incentive,Loan Program,9/26/2012,8/6/2020
City and County of Denver - Solar Panel Permitting,CO,Regulatory Policy,Solar/Wind Permitting Standards,12/7/2012,5/29/2024
Colorado Residential Energy Upgrade (RENU) Loan program,CO,Financial Incentive,Loan Program,12/12/2012,7/21/2022
Eagle County - Energy Smart Colorado Energy Efficiency Rebate Program,CO,Financial Incentive,Rebate Program,3/27/2014,3/17/2025
City of Aspen and Pitkin County - Renewable Energy Mitigation Program Grants,CO,Financial Incentive,Grant Program,10/2/2014,9/23/2022
Summit County - Energy Smart Colorado Energy Efficiency Rebate Program,CO,Financial Incentive,Rebate Program,10/9/2014,6/21/2023
Lake County - Energy Smart Colorado Energy Efficiency Rebate Program,CO,Financial Incentive,Rebate Program,10/9/2014,7/7/2023
Energy Smart Colorado Energy Efficiency Rebate Program,CO,Financial Incentive,Rebate Program,10/10/2014,6/3/2024
Green Colorado Credit Reserve,CO,Financial Incentive,Loan Program,11/5/2014,7/20/2022
Xcel Energy - Residential Energy Efficiency Financing,CO,Financial Incentive,Loan Program,12/3/2014,5/28/2024
Xcel Energy - Commercial Energy Efficiency Financing,CO,Financial Incentive,Loan Program,12/3/2014,5/28/2024
Efficiency Works - Business Energy Efficiency Rebate Program (Offered by 4 Utilities),CO,Financial Incentive,Rebate Program,7/6/2015,8/23/2024
Efficiency Works - Residential Energy Efficiency Rebate Program (Offered by 4 Utilities),CO,Financial Incentive,Rebate Program,7/8/2015,8/26/2024
C-PACE: Colorado Commercial Property Assessed Clean Energy,CO,Financial Incentive,PACE Financing,5/24/2016,1/2/2024
Residential Energy Upgrade (RENU) Loan Program,CO,Financial Incentive,Loan Program,8/3/2018,1/27/2023
San Isabel Electric Association - Commercial Lighting Rebate Program,CO,Financial Incentive,Rebate Program,5/21/2019,5/21/2024
La Plata Electric Association - Commercial Energy Efficiency Rebate Program,CO,Financial Incentive,Rebate Program,5/22/2019,5/23/2024
Community Solar Gardens and Community Geothermal Gardens,CO,Regulatory Policy,Community Solar Rules,8/28/2020,2/28/2025
Electric Vehicle Income Tax Credit,CO,Financial Incentive,Personal Tax Credit,5/21/2021,3/27/2025
Charge Ahead Colorado,CO,Financial Incentive,Grant Program,5/21/2021,12/8/2021
ALT Fuels Colorado,CO,Financial Incentive,Grant Program,5/21/2021,12/31/2021
Energy Impact Assistance Fund Grant Program,CO,Financial Incentive,Grant Program,5/21/2021,12/31/2021
Electric Vehicle Fast-Charging Plazas Program,CO,Financial Incentive,Grant Program,5/21/2021,12/31/2021
Colorado Appliance and Equipment Energy Efficiency Standards,CO,Regulatory Policy,Appliance/Equipment Efficiency Standards,7/8/2021,10/24/2024
Black Hills Energy - Ready EV Electric Vehicle Charging Rebate,CO,Financial Incentive,Rebate Program,7/16/2021,6/16/2025
Gunnison County Electric - Electric Vehicle Rebates,CO,Financial Incentive,Rebate Program,7/16/2021,6/3/2024
Holy Cross Energy - EV Charger Incentives,CO,Financial Incentive,Rebate Program,7/16/2021,6/10/2025
San Isabel Electric Association - Electric Vehicle Charger Rebates,CO,Financial Incentive,Rebate Program,7/16/2021,6/16/2025
Boulder County - Partners for a Clean Environment (PACE) rebates,CO,Financial Incentive,Rebate Program,7/20/2022,7/20/2022
Sales Tax Exemption for Energy Storage Systems,CO,Financial Incentive,Sales Tax Incentive,2/22/2023,12/12/2024
Tax Credit for Residential Energy Storage Systems,CO,Financial Incentive,Personal Tax Credit,2/22/2023,3/27/2025
Sustainable Rebuilding Program,CO,Financial Incentive,Grant Program,2/22/2023,12/4/2023
Sustainable Rebuilding Program,CO,Financial Incentive,Loan Program,2/22/2023,2/22/2023
City and County of Denver - Green Building Ordinance,CO,Regulatory Policy,Building Energy Code,7/18/2024,7/18/2024
Colorado - Home Electrification and Appliance Rebate (HEAR) Program,CO,Financial Incentive,Rebate Program,11/11/2024,11/11/2024
City and County of Denver - Heat Pump Rebates for Existing Buildings,CO,Financial Incentive,Rebate Program,12/20/2024,12/20/2024
City and County of Denver - Steam to Electric Conversion Incentive,CO,Financial Incentive,Grant Program,12/20/2024,12/20/2024
City and County of Denver - District Energy Conversion Incentive,CO,Financial Incentive,Grant Program,12/20/2024,12/20/2024
City and County of Denver - Solar Rebate,CO,Financial Incentive,Rebate Program,2/25/2025,2/25/2025
City and County of Denver - Solar and EV Charging for Nonprofits,CO,Financial Incentive,Grant Program,2/25/2025,2/25/2025
City and County of Denver - Solar Outdoor Learning Incentive Program,CO,Financial Incentive,Grant Program,2/25/2025,2/25/2025
City and County of Denver - Rebates for Electrification Feasilibity Reports,CO,Financial Incentive,Rebate Program,2/25/2025,2/25/2025
City and County of Denver - Building Electrification Retrofit Pilot,CO,Financial Incentive,Grant Program,2/25/2025,2/25/2025
City and County of Denver - All-Electric New Construction Rebates,CO,Financial Incentive,Rebate Program,2/25/2025,2/25/2025
City and County of Denver - Heat Pump Installation Bonus for Contractors,CO,Financial Incentive,Rebate Program,2/25/2025,2/25/2025
City and County of Denver - Home Energy Rebates,CO,Financial Incentive,Rebate Program,2/26/2025,2/26/2025
City and County of Denver - Green Workforce Mini Grant,CO,Financial Incentive,Grant Program,2/26/2025,2/26/2025
Mountain Parks Electric - Clean Power Program,CO,Financial Incentive,Rebate Program,3/17/2025,3/17/2025
High Country Conservation - Solarize Summit,CO,Financial Incentive,Rebate Program,3/17/2025,3/17/2025
Connecticut Clean Energy Fund,CT,Regulatory Policy,Public Benefits Fund,1/1/2000,6/3/2025
Renewables Portfolio Standard,CT,Regulatory Policy,Renewables Portfolio Standard,1/1/2000,7/1/2025
Fuel Mix and Emissions Disclosure,CT,Regulatory Policy,Generation Disclosure,1/1/2001,8/9/2023
Property Tax Exemption for Renewable Energy Systems,CT,Financial Incentive,Property Tax Incentive,1/1/2000,3/20/2023
Residential Renewable Energy Solutions,CT,Regulatory Policy,Net Metering,1/1/2000,5/19/2025
Solar and Wind Contractor Licensing,CT,Regulatory Policy,Solar/Wind Contractor Licensing,1/1/2000,12/19/2024
Interconnection Standards,CT,Regulatory Policy,Interconnection,2/12/2004,5/30/2024
